RAW ID	FAMOZ ID
APCL28	1
APCL21	2
APCL27	3
APCL48	4
APCL39	5
APCL47	6
APCL58	7
APCL53	8
APCL56	9
APCL52	10
APCL54	11
APCL64	12
APCL67	13
APCL68	14
APCL70	15
APCL61	16
APCL89	17
APCL97	18
APCL93	19
APCL88	20
APCL90	21
APCL95	22
APCL101	23
APCL102	24
APCL111	25
APCL131	26
APCL130	27
APCL132	28
APCL141	29
APCL125	30
APCL139	31
APCL145	32
APCL144	33
APCL166	34
APCL172	35
APCL173	36
APCL176	37
APCL182	38
APCL190	39
APCL194	40
APCL187	41
APCL191	42
APCL196	43
APCL198	44
APCL197	45
APCL207	46
APCL205	47
APCL204	48
APCL206	49
APCL199	50
APCL200	51
APCL212	52
APCL219	53
APCL217	54
APCL218	55
APCL220	56
APCL225	57
APCL223	58
APCL224	59
APCL221	60
APCL251	61
APCL249	62
APCL250	63
APCL248	64
APCL245	65
APCL243	66
APCL246	67
APCL255	68
APCL259	69
APCL253	70
APCL254	71
APCL257	72
APCL269	73
APCL268	74
APCL265	75
APCL272	76
APCL267	77
APCL275	78
APCL285	79
APCL279	80
APCL280	81
APCL282	82
APCL283	83
APCL296	84
APCL297	85
APCL300	86
APCL298	87
APCL289	88
APCL299	89
APCL305	90
APCL288	91
APCL302	92
APCL291	93
APCL301	94
APCL321	95
APCL312	96
APCL322	97
APCL311	98
APCL309	99
APCL313	100
APCL319	101
APCL307	102
APCL308	103
APCL320	104
APCL317	105
APCL345	106
APCL346	107
APCL358	108
APCL344	109
APCL357	110
APCL355	111
APCL348	112
APCL359	113
APCL343	114
APCL347	115
APCL360	116
APCL354	117
APCL351	118
APCL374	119
APCL378	120
APCL373	121
APCL377	122
APCL368	123
APCL370	124
APCL365	125
APCL375	126
APCL369	127
APCL366	128
APCL381	129
APCL383	130
APCL379	131
APCL382	132
APCL397	133
APCL398	134
APCL395	135
APCL390	136
APCL394	137
APCL391	138
APCL399	139
APCL411	140
APCL410	141
APCL402	142
APCL405	143
APCL416	144
APCL406	145
APCL418	146
APCL403	147
APCL414	148
APCL413	149
APCL407	150
APCL426	151
APCL427	152
APCL423	153
APCL419	154
APCL425	155
APCL424	156
APCL429	157
APCL422	158
APCL420	159
APCL421	160
APCL428	161
APCL432	162
APCL438	163
APCL436	164
APCL460	165
APCL459	166
APCL451	167
APCL446	168
APCL455	169
APCL458	170
APCL453	171
APCL452	172
APCL461	173
APCL456	174
APCL447	175
APCL475	176
APCL479	177
APCL480	178
APCL485	179
APCL498	180
APCL501	181
APCL495	182
APCL492	183
APCL497	184
APCL503	185
APCL500	186
APCL489	187
APCL491	188
APCL496	189
APCL488	190
APCL490	191
APCL508	192
APCL513	193
APCL512	194
APCL525	195
APCL515	196
APCL517	197
APCL519	198
APCL522	199
APCL511	200
APCL528	201
APCL529	202
APCL526	203
APCL527	204
APCL518	205
APCL531	206
APCL539	207
APCL538	208
APCL534	209
APCL535	210
APCL532	211
APCL544	212
APCL536	213
APCL546	214
APCL547	215
APCL549	216

APCL38	1
APCL50	2
APCL55	3
APCL57	4
APCL49	5
APCL59	6
APCL69	7
APCL60	8
APCL65	9
APCL63	10
APCL62	11
APCL92	12
APCL91	13
APCL94	14
APCL96	15
APCL104	16
APCL100	17
APCL108	18
APCL105	19
APCL103	20
APCL106	21
APCL107	22
APCL126	23
APCL135	24
APCL129	25
APCL128	26
APCL140	27
APCL134	28
APCL127	29
APCL124	30
APCL133	31
APCL136	32
APCL143	33
APCL142	34
APCL162	35
APCL163	36
APCL165	37
APCL177	38
APCL171	39
APCL192	40
APCL195	41
APCL193	42
APCL202	43
APCL201	44
APCL203	45
APCL208	46
APCL222	47
APCL242	48
APCL240	49
APCL244	50
APCL241	51
APCL252	52
APCL247	53
APCL256	54
APCL258	55
APCL266	56
APCL274	57
APCL273	58
APCL270	59
APCL271	60
APCL264	61
APCL281	62
APCL284	63
APCL294	64
APCL287	65
APCL293	66
APCL295	67
APCL304	68
APCL292	69
APCL286	70
APCL290	71
APCL303	72
APCL316	73
APCL306	74
APCL310	75
APCL315	76
APCL318	77
APCL314	78
APCL353	79
APCL361	80
APCL356	81
APCL352	82
APCL350	83
APCL349	84
APCL362	85
APCL372	86
APCL367	87
APCL371	88
APCL376	89
APCL384	90
APCL380	91
APCL387	92
APCL386	93
APCL389	94
APCL385	95
APCL396	96
APCL393	97
APCL388	98
APCL392	99
APCL401	100
APCL400	101
APCL412	102
APCL417	103
APCL408	104
APCL404	105
APCL409	106
APCL435	107
APCL431	108
APCL430	109
APCL433	110
APCL434	111
APCL437	112
APCL463	113
APCL445	114
APCL457	115
APCL454	116
APCL449	117
APCL462	118
APCL448	119
APCL464	120
APCL450	121
APCL471	122
APCL474	123
APCL470	124
APCL467	125
APCL473	126
APCL472	127
APCL468	128
APCL469	129
APCL481	130
APCL477	131
APCL482	132
APCL483	133
APCL476	134
APCL478	135
APCL486	136
APCL484	137
APCL487	138
APCL504	139
APCL499	140
APCL494	141
APCL502	142
APCL493	143
APCL507	144
APCL509	145
APCL506	146
APCL514	147
APCL524	148
APCL516	149
APCL520	150
APCL521	151
APCL523	152
APCL533	153
APCL537	154
APCL542	155
APCL543	156
APCL540	157
APCL541	158
APCL551	159
APCL552	160
APCL545	161
APCL550	162
