      Allele       Pop_1       Pop_2       Pop_3       Pop_4       Pop_5       Pop_6       Pop_7       Pop_8       Pop_9      Pop_10      Pop_11      Pop_12      Pop_13      Pop_14      Pop_15      Pop_16      Pop_17      Pop_18      Pop_19
           1     0.00000     0.00000     0.00000     0.02500     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.02941     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
          10     0.07143     0.00000     0.07895     0.07500     0.07500     0.07500     0.07895     0.28571     0.07500     0.15789     0.02500     0.08824     0.07895     0.07895     0.15152     0.05263     0.10000     0.02500     0.12500
          12     0.00000     0.12500     0.05263     0.02500     0.00000     0.00000     0.02632     0.00000     0.00000     0.00000     0.00000     0.02941     0.02632     0.00000     0.01515     0.00000     0.00000     0.00000     0.00000
           6     0.00000     0.00000     0.00000     0.00000     0.05000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.01515     0.00000     0.00000     0.00000     0.02500
           7     0.57143     0.50000     0.55263     0.50000     0.55000     0.57500     0.55263     0.47619     0.52500     0.57895     0.55000     0.38235     0.44737     0.42105     0.51515     0.68421     0.72500     0.60000     0.67500
           8     0.35714     0.35000     0.26316     0.35000     0.27500     0.35000     0.28947     0.19048     0.35000     0.23684     0.37500     0.47059     0.42105     0.42105     0.24242     0.23684     0.17500     0.30000     0.17500
           9     0.00000     0.02500     0.05263     0.02500     0.05000     0.00000     0.05263     0.04762     0.05000     0.02632     0.05000     0.00000     0.02632     0.07895     0.06061     0.02632     0.00000     0.07500     0.00000
           ?     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
      Allele       Pop_1       Pop_2       Pop_3       Pop_4       Pop_5       Pop_6       Pop_7       Pop_8       Pop_9      Pop_10      Pop_11      Pop_12      Pop_13      Pop_14      Pop_15      Pop_16      Pop_17      Pop_18      Pop_19
           1     0.00000     0.00000     0.00000     0.02500     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.02941     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
          10     0.07143     0.00000     0.07895     0.07500     0.07500     0.07500     0.07895     0.28571     0.07500     0.15789     0.02500     0.08824     0.07895     0.07895     0.15152     0.05263     0.10000     0.02500     0.12500
          12     0.00000     0.12500     0.05263     0.02500     0.00000     0.00000     0.02632     0.00000     0.00000     0.00000     0.00000     0.02941     0.02632     0.00000     0.01515     0.00000     0.00000     0.00000     0.00000
           6     0.00000     0.00000     0.00000     0.00000     0.05000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.01515     0.00000     0.00000     0.00000     0.02500
           7     0.57143     0.50000     0.55263     0.50000     0.55000     0.57500     0.55263     0.47619     0.52500     0.57895     0.55000     0.38235     0.44737     0.42105     0.51515     0.68421     0.72500     0.60000     0.67500
           8     0.35714     0.35000     0.26316     0.35000     0.27500     0.35000     0.28947     0.19048     0.35000     0.23684     0.37500     0.47059     0.42105     0.42105     0.24242     0.23684     0.17500     0.30000     0.17500
           9     0.00000     0.02500     0.05263     0.02500     0.05000     0.00000     0.05263     0.04762     0.05000     0.02632     0.05000     0.00000     0.02632     0.07895     0.06061     0.02632     0.00000     0.07500     0.00000
           ?     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
