Missing Data in file Aclarkii_2009-04-06 TwoReg.gen

Population     Sample     Locus     Genotype     Comments
       1           6         4        0000     Missing Data!                 
       1           9         4        0000     Missing Data!                 
       1          14         8        0000     Missing Data!                 
       1          19         1        0000     Missing Data!                 
       1          21        11        0000     Missing Data!                 
       1          23         4        0000     Missing Data!                 
       1          27         4        0000     Missing Data!                 
       1          32         4        0000     Missing Data!                 
       1          32        11        0000     Missing Data!                 
       1          37         4        0000     Missing Data!                 
       1          40         3        0000     Missing Data!                 
       1          40         4        0000     Missing Data!                 
       1          42         4        0000     Missing Data!                 
       1          42         7        0000     Missing Data!                 
       1          43         4        0000     Missing Data!                 
       1          45         4        0000     Missing Data!                 
       1          48        11        0000     Missing Data!                 
       1          52         4        0000     Missing Data!                 
       1          75        11        0000     Missing Data!                 
       1          77         1        0000     Missing Data!                 
       1          81         8        0000     Missing Data!                 
       1          81        11        0000     Missing Data!                 
       1          85         4        0000     Missing Data!                 
       1          95         4        0000     Missing Data!                 
       1          96         4        0000     Missing Data!                 
       1          97         1        0000     Missing Data!                 
       1          97        11        0000     Missing Data!                 
       1          98         4        0000     Missing Data!                 
       1         101         4        0000     Missing Data!                 
       1         108         4        0000     Missing Data!                 
       1         109        11        0000     Missing Data!                 
       1         111         8        0000     Missing Data!                 
       1         112         4        0000     Missing Data!                 
       1         113         4        0000     Missing Data!                 
       1         118         4        0000     Missing Data!                 
       1         119         4        0000     Missing Data!                 
       1         122         9        0000     Missing Data!                 
       1         123        11        0000     Missing Data!                 
       1         124         4        0000     Missing Data!                 
       1         125         4        0000     Missing Data!                 
       1         128        11        0000     Missing Data!                 
       1         130         4        0000     Missing Data!                 
       1         130         9        0000     Missing Data!                 
       1         143         4        0000     Missing Data!                 
       1         150         1        0000     Missing Data!                 
       1         152         8        0000     Missing Data!                 
       1         158         4        0000     Missing Data!                 
       1         160         8        0000     Missing Data!                 
       1         167        11        0000     Missing Data!                 
       1         176         3        0000     Missing Data!                 
       1         179         4        0000     Missing Data!                 
       1         180         4        0000     Missing Data!                 
       1         182         4        0000     Missing Data!                 
       1         183        11        0000     Missing Data!                 
       1         193        11        0000     Missing Data!                 
       1         201        14        0000     Missing Data!                 
       2           1        11        0000     Missing Data!                 
       2           5         6        0000     Missing Data!                 
       2          19         4        0000     Missing Data!                 
       2          21         2        0000     Missing Data!                 
       2          24         4        0000     Missing Data!                 
       2          29         4        0000     Missing Data!                 
       2          30         4        0000     Missing Data!                 
       2          32        11        0000     Missing Data!                 
       2          38         4        0000     Missing Data!                 
       2          38         5        0000     Missing Data!                 
       2          41        11        0000     Missing Data!                 
       2          45         4        0000     Missing Data!                 
       2          48         4        0000     Missing Data!                 
       2          55         4        0000     Missing Data!                 
       2          57         4        0000     Missing Data!                 
       2          57        14        0000     Missing Data!                 
       2          59         8        0000     Missing Data!                 
       2          62         4        0000     Missing Data!                 
       2          63         4        0000     Missing Data!                 
       2          65         8        0000     Missing Data!                 
       2          67         4        0000     Missing Data!                 
       2          67         7        0000     Missing Data!                 
       2          68         4        0000     Missing Data!                 
       2          68         7        0000     Missing Data!                 
       2          68        14        0000     Missing Data!                 
       2          72         4        0000     Missing Data!                 
       2          74         4        0000     Missing Data!                 
       2          76         8        0000     Missing Data!                 
       2          77        11        0000     Missing Data!                 
       2          80         6        0000     Missing Data!                 
       2          81         4        0000     Missing Data!                 
       2          95         2        0000     Missing Data!                 
       2          96         4        0000     Missing Data!                 
       2         100         1        0000     Missing Data!                 
       2         104         8        0000     Missing Data!                 
       2         106         4        0000     Missing Data!                 
       2         114         8        0000     Missing Data!                 
       2         119         4        0000     Missing Data!                 
       2         126         4        0000     Missing Data!                 
       2         132         4        0000     Missing Data!                 
       2         140         8        0000     Missing Data!                 
       2         142         4        0000     Missing Data!                 
       2         142        11        0000     Missing Data!                 
       2         143         4        0000     Missing Data!                 
       2         146         1        0000     Missing Data!                 
       2         147         4        0000     Missing Data!                 
       2         147         6        0000     Missing Data!                 
       2         152        11        0000     Missing Data!                 
       2         155         4        0000     Missing Data!                 
       2         159         2        0000     Missing Data!                 
       2         160         4        0000     Missing Data!                 
       2         168         4        0000     Missing Data!                 
       2         169         7        0000     Missing Data!                 
       2         169         8        0000     Missing Data!                 
       2         169        13        0000     Missing Data!                 

Total of missing data:    111
